survey_year	litterfall
survey_year	 litterfall
2007.0315789473684	 1.0619599847075314
2008.0210526315789	 0.7883267490760799
2009.0315789473684	 1.2120810500828334
2010	 0.7495348540843629
2011.0315789473684	 0.8973110742959092
2012	 0.6236268637695934
2013.0105263157893	 0.7568242640499552
2014.0210526315789	 0.6575761437492034
2015.0315789473684	 1.0522747546833173
2016	 0.7495348540843638
2016.9894736842105	 0.9262648145788202
2017.9368421052632	 1.6840066267363314
2018.9894736842105	 0.7277175990824514
2020	 1.1805275901618462
2021.0105263157893	 2.8391487192557667
